SORCS2
MED4
LOC101929563
MMP2-AS1
TRAPPC12
ARHGEF7
GPC5
LOC101927762
PFKP
CHRM3
ETS1
PAK5
ADARB2
OR51B5
SILC1
SNRPN
SNHG14
ZNF521
PLCG2
TEX26
GRB14
NLRP1
KIRREL3
LINC00392
COLEC11
NUP210
MPZL3
DLGAP2
PRPH2
ARMC3
CDK8
NTRK3
SYNDIG1
GRAMD1B
C6orf99
NRXN3
SLC39A9
FAS
MIR548A1HG
PTCHD1-AS
GPM6A
MACF1
FAM83D
NSD3
AFF2
LINC00607
MIR4300HG
WDHD1
RAB27A
IGSF1
AGAP1
EBF1
PCNX2
WASHC2A
COX10-AS1
ALG13
SEC14L5
HTR2C
TRPC5
OPCML
CFAP47
DEF6
ATXN10
CELSR3
CASC8
CSTF1
FRMPD4
SORCS3
PLD5
GLYR1
DACH1
ATP11C
NRSN1
NGEF
PROX1
ALDH8A1
CTNNA3
RNF168
OFD1
IL15RA
DACH2
DOCK1
INSYN2A
DIP2C
PLCE1
NEO1
PDYN-AS1
LDLRAD4
SLC24A2
DNAH2
LINC01085
ADAMTS9-AS2
SCHLAP1
LINC01284
LINC02610
RNF169
MTHFD2L
RPS7P5
GPC6
HECTD2-AS1
HECTD2
RPS6KA2
KIAA1217
SLC35F2
TBC1D8
ACVR1
POF1B
CCDC102B
LPP
STUM
NAV2
MAP3K2
LOC101928911
LRMDA
CCDC171
ATF6
KMT2C
MUC13
IL1RAPL2
TBC1D4
ARMH3
LAMB3
ALDH18A1
LINC01470
NR1H4
ELMOD3
TTC28
RAP1A
HMGXB3
LOC102606465
KCTD16
F8
KLK9
DNAJC1
COL5A1
PCDH9
KIAA1549L
LOC101928437
GRIA3
LINC00630
FAAH2
CCDC148
ATXN1
ZMAT4
DIS3L2
MAST4
PLEKHA7
ARID1B
MAD1L1
FHIT
SEL1L3
DCLK1
CAMTA1
LINC00693
NEGR1
CDH13
MAGI3
COLGALT2
PFKFB3
FBXL17
PPEF1
RIC3
GRID1
LINC00333
PAK1
TSHZ3
YAF2
ASIC2
MEF2C-AS1
CFAP299
GRIP1
DNAH14
LINC00563
RARB
RYR3
AK7
KCNQ1
TGFA
ARHGEF10
LOC100128006
PFKFB1
PCDH15
MYO16
LRCH1
TFAP2D
LINC01807
LRRC66
CASZ1
NLRP3
LOC102723729
SVIL
LINC02099
PEBP4
ZNF236
TPTE2P5
SH2D4B
NAALADL2
TOGARAM2
AJAP1
FRMD7
TCF3
SEMA6D
CSMD3
ATRNL1
TAF3
LRRC38
HSPA12A
ZNF362
PLAAT4
FUT9
RFX3
ENTPD1-AS1
ENTPD1
RNASEL
U2AF1
U2AF1L5
LINC01471
MGAT4C
LOC105369438
ERBB4
SLC25A26
LOC101929099
DENND2B
DLG2
CTDP1
LOC107985246
NLGN4X
ANKRD12
NXPE2
KLF12
HHAT
HNRNPH1
STARD8
AGPAT4
IGFBP7-AS1
CSMD1
LINC01716
ABCC12
LINC02789
IQGAP2
RGS7
STIM1
LINC00431
ZMYM2
KCNMA1-AS1
KCNMA1
TMCC1
MB
FNDC3A
PRKG1
CAPN13
IL1RAPL1
TRAK1
CPEB3
MBD5
SCARB1
LMNTD1
PRKCE
LINC00434
PID1
APBB1IP
BMPR1B
CAPZA1
PBX1
SPATA17
TBC1D9
MYO3A
CDH8
LINC01122
COL4A5
NFIA
SACM1L
LYPD6B
FAM171A1
ALLC
WWOX
KIF13A
DMRT1
DCDC2C
LMBR1
SBF2
ASTN2
OBI1-AS1
SAP130
NLGN1
MED27
TOP2B
SLC44A5
FREM1
C3orf33
CDK17
MTHFD1
CERKL
PGM5
MIR548F3
HPSE2
PCSK2
ZNF664-RFLNA
AFAP1-AS1
TENM1
ACTR3C
ITPR2
PDE4D
HNMT
SENP6
FLNB
FBXO36
CNNM1
ALPK2
MIR100HG
LINC00299
ITPK1
RABEP1
SCD5
NTM
MAGI1
KCNIP4
HECW2
NCKAP5
ZPBP
RXRG
LINC00673
LINC00271
LINC01169
LAD1
SNX29
PRKACB
TAFA4
RASGRF1
GNAL
LRRIQ3
PNKD
TATDN1
AGO3
RBMS3
ATCAY
MIR1268A
DCDC2
ABLIM1
OSBPL6
UNC13C
LOC100507477
TMEM163
SPON1
HS3ST2
APTX
NELL1
UBE3A
CMAS
COL6A6
KMO
PDE11A
SNAP25
SLC16A2
ZNF674
FAM240A
GIPC2
PDE4B
GNG2
CASC15
ERC2
LUZP2
COL21A1
ELL2
ACOT7
ZSCAN26
SBDS
CCNB3
USP54
PPARGC1A
SCML1
BHLHB9
ARMCX5-GPRASP2
PKP2
LOC101927066
TMEM35A
GKAP1
EYS
PARGP1
PARG
PARGP1-AGAP4
CAP2
KCND3
CADM1
CSNK1D
NXPH1
LRRTM3
NOVA1
KCNG2
PTPRB
SAMD12
G2E3-AS1
LRRTM4
CLIP4
ESRRG
LINC01179
ANKRD20A4-ANKRD20A20P
ANKRD20A4
ZNF423
THSD4
NCOA3
NUP107
AMMECR1
TMEM67
CLUHP3
LINC02505
ATP2B2
TMPRSS13
NBEA
DPP4
MINDY3
NOX4
LINC02008
STIL
FAM234B
AGBL1
LINC01788
CSNK1G1
ZNF765-ZNF761
ZNF765
PITPNC1
TOP2A
CNTNAP2
FER
PTPRD
LINC00927
ARHGAP11B
LHPP
REEP5
SUSD5
INPP4B
MOV10
STARD13
DPAGT1
SLC6A6
PTPRM
LRRC74A
CRBN
EYA1
LRRC4C
NAV1
DYNC2H1
CCT6B
DMBT1
C9orf85
LINC01517
TRPM8
CARMIL1
DIP2B
TMEM218
NID1
MGC4859
CCNYL1
MRPS9-AS2
FAM118B
LINC01317
TAF4B
HKDC1
ST6GALNAC3
FXYD6
FXYD6-FXYD2
STK39
CIDEB
MSH4
CDKL4
ITCH
LINC00535
SUSD6
SGCZ
MYBPC1
GALNT1
AUTS2
LAMP3
BLK
NUTM2A-AS1
EFHB
NBDY
ALOX12B
DSCAM
CDH4
GPI
SORCS1
SHTN1
CCSER1
ERO1B
SMIM35
VGLL4
PTEN
TRPM2
TRPM2-AS
INPP5D
KDM2B
PEPD
LOC101927314
XACT
SOX6
ADAMTS8
DENND1B
SNTG1
GRIA1
IMMP2L
ERBB3
TNKS2
ASH1L
DNAJC17
TDH
GPA33
CARD11
ELAVL2
LINC01229
HS6ST2
FAF1
MACROD2
PSD3
LOC101928438
LOC730100
HNRNPR
EPHB2
SATB1-AS1
GTF2F2
APP
GALNT13
TM2D1
STAG1
SPAG16
SLC7A6OS
CNTFR
GRM1
EPB41L1
PACRG
SLC9A9
ARFGEF3
AGR3
TJP2
CEP126
LOC101927245
TMTC1
OCRL
FAM155A
DMD
DOCK10
RNLS
HEATR5B
LCP1
ITGA6
PKP4
SEPTIN4-AS1
BBS2
PDSS2
LOC100130207
LRIG3
SHISA6
RHOG
ATP6V1D
C12orf80
RAB3C
UROS
FTO
CCT3
DSCAML1
CYLD
SHLD1
SLC24A4
KTN1
TBC1D22A
CUEDC1
LYPLAL1
NHEJ1
AKT3
LOC100506258
SYT9
SESTD1
LINC02257
CA8
BAIAP2L2
SLC8A1
RREB1
FMN1
MYO10
RBFOX1
COG3
RHOBTB1
UST
PMFBP1
ABHD2
PTPRJ
RAMP1
SEMA3C
OLFML2B
KRT72
EDNRB-AS1
MYBPC3
QKI
MLYCD
EDNRA
PIH1D3
PLXNA2
PTPN4
VWA2
CCNK
LOC101928135
CNR2
DTNB
PXK
ELMOD1
ZBTB44
ANKRD44
UBE2QL1
TSPAN5
LINC01720
SPATA16
LINC00993
SORBS2
PHIP
LINC00922
EDNRB
TMEM177
CUX1
C4orf19
TP63
TYRP1
LURAP1L-AS1
IL19
ZMAT1
CDK5RAP2
ITGBL1
C8orf37-AS1
F11-AS1
TCERG1
ATP10D
TPCN1
TMEM108
LOC101927284
NET1
SORT1
SGMS1
GSG1L2
SMC5
OBSL1
KCNN2
CACNA2D4
LINC01551
RNF144A
TNFRSF11B
CADM2
PLPPR1
PHKA1
LINC00923
KLRF1
TMEFF1
MSANTD3-TMEFF1
GNAQ
PEAK1
CEP112
ADGRE2
MGAT5
SH3PXD2A
TNRC6C
GRIN2A
NKAIN3
PIGU
BCL11B
NOP53
TRIM49D2
TRIM49D1
CACNA1C
KNL1
FHDC1
TRMT11
WDFY2
TMEM217
EFCAB6
MYO18B
LAMA2
ATXN3
ABCB11
TBX3
CKAP5
LOC101927967
LOC101927948
NCKAP5-AS2
TMEM132C
SPPL3
